audit_id,created_at_utc,created_at_local,iteration,thesis_id,instrument,direction,strategy_id,confidence_tese_pct,expected_financial_pct,realized_financial_pct,requested_instruments
3219,2026-05-02T05:28:18+00:00,2026-05-02T02:28:18-03:00,466,TH-PRIO3-bullish-12094,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"RENT3,RAIL3,BPAC11,B3SA3,PRIO3,GGBR4,JBSS3"
3222,2026-05-02T05:28:48+00:00,2026-05-02T02:28:48-03:00,467,TH-PETR4-bullish-12054,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"BBDC4,RENT3,PETR4,HAPV3,PRIO3"
3225,2026-05-02T05:29:18+00:00,2026-05-02T02:29:18-03:00,468,TH-PRIO3-bullish-13295,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"VALE3,RADL3,LREN3,PRIO3,VBBR3,ITUB4,SUZB3"
3228,2026-05-02T05:29:37+00:00,2026-05-02T02:29:37-03:00,469,TH-SUZB3-bullish-3767,SUZB3,bullish,BULL_CALL_SPREAD,71.2861,3.784,-0.3576,"ABEV3,SUZB3,B3SA3,RENT3"
3231,2026-05-02T05:30:04+00:00,2026-05-02T02:30:04-03:00,470,TH-PETR4-bullish-3514,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"PETR4,LREN3,RAIL3,GGBR4,SUZB3"
3234,2026-05-02T05:30:32+00:00,2026-05-02T02:30:32-03:00,471,TH-PRIO3-bullish-13975,PRIO3,bullish,BULL_CALL_SPREAD,72.5161,3.9218,5.4,"HAPV3,RENT3,BPAC11,ITUB4,PRIO3,B3SA3,ABEV3"
3237,2026-05-02T05:31:00+00:00,2026-05-02T02:31:00-03:00,472,TH-PETR4-bullish-15264,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"RENT3,GGBR4,ABEV3,PETR4"
3240,2026-05-02T05:31:33+00:00,2026-05-02T02:31:33-03:00,473,TH-PETR4-bullish-11974,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"CMIG4,ITUB4,PETR4,BPAC11,GGBR4,WEGE3"
3243,2026-05-02T05:32:02+00:00,2026-05-02T02:32:02-03:00,474,TH-PETR4-bullish-11944,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"ITUB4,WEGE3,PETR4,BBAS3,LREN3"
3246,2026-05-02T05:32:31+00:00,2026-05-02T02:32:31-03:00,475,TH-PETR4-bullish-7707,PETR4,bullish,BULL_CALL_SPREAD,80.5787,4.8248,3.1405,"WEGE3,PETR4,B3SA3,BBAS3,JBSS3,RAIL3"
